Epoch: [0][2060/2276], lr: 0.10000	Time 0.272 (0.284)	Data 0.000 (0.014)	Loss 2.5921 (3.4920)	Prec@1 35.000 (9.806)	Prec@5 50.000 (32.038)
Epoch: [0][2080/2276], lr: 0.10000	Time 0.271 (0.284)	Data 0.000 (0.014)	Loss 2.7490 (3.4841)	Prec@1 25.000 (9.971)	Prec@5 65.000 (32.326)
Epoch: [0][2100/2276], lr: 0.10000	Time 0.157 (0.283)	Data 0.001 (0.013)	Loss 2.8166 (3.4768)	Prec@1 35.000 (10.100)	Prec@5 55.000 (32.613)
Epoch: [0][2120/2276], lr: 0.10000	Time 0.157 (0.282)	Data 0.000 (0.013)	Loss 2.8595 (3.4705)	Prec@1 15.000 (10.189)	Prec@5 60.000 (32.860)
Epoch: [0][2140/2276], lr: 0.10000	Time 0.154 (0.281)	Data 0.000 (0.013)	Loss 2.7232 (3.4634)	Prec@1 25.000 (10.304)	Prec@5 50.000 (33.115)
Epoch: [0][2160/2276], lr: 0.10000	Time 0.159 (0.280)	Data 0.000 (0.013)	Loss 3.2787 (3.4563)	Prec@1 20.000 (10.428)	Prec@5 55.000 (33.376)
Epoch: [0][2180/2276], lr: 0.10000	Time 0.149 (0.279)	Data 0.001 (0.013)	Loss 3.0377 (3.4500)	Prec@1 25.000 (10.589)	Prec@5 60.000 (33.615)
Epoch: [0][2200/2276], lr: 0.10000	Time 0.158 (0.278)	Data 0.000 (0.013)	Loss 2.9505 (3.4434)	Prec@1 10.000 (10.718)	Prec@5 50.000 (33.873)
Epoch: [0][2220/2276], lr: 0.10000	Time 0.157 (0.277)	Data 0.000 (0.013)	Loss 2.7421 (3.4369)	Prec@1 20.000 (10.842)	Prec@5 70.000 (34.077)
Epoch: [0][2240/2276], lr: 0.10000	Time 0.153 (0.276)	Data 0.000 (0.013)	Loss 2.7719 (3.4299)	Prec@1 20.000 (10.966)	Prec@5 60.000 (34.311)
Epoch: [0][2260/2276], lr: 0.10000	Time 0.154 (0.275)	Data 0.000 (0.013)	Loss 3.0733 (3.4251)	Prec@1 20.000 (11.050)	Prec@5 50.000 (34.471)
Test: [0/567]	Time 4.209 (4.209)	Loss 3.4755 (3.4755)	Prec@1 0.000 (0.000)	Prec@5 5.000 (5.000)
Test: [20/567]	Time 0.941 (0.312)	Loss 2.6239 (3.0920)	Prec@1 55.000 (12.619)	Prec@5 80.000 (39.524)
Test: [40/567]	Time 0.061 (0.202)	Loss 2.3720 (2.9123)	Prec@1 0.000 (15.854)	Prec@5 80.000 (51.098)
Test: [60/567]	Time 0.079 (0.177)	Loss 3.4996 (2.5856)	Prec@1 0.000 (23.443)	Prec@5 30.000 (59.754)
Test: [80/567]	Time 0.061 (0.164)	Loss 0.3994 (2.3966)	Prec@1 95.000 (31.173)	Prec@5 100.000 (63.642)
Test: [100/567]	Time 0.060 (0.158)	Loss 3.4466 (2.4301)	Prec@1 0.000 (28.861)	Prec@5 15.000 (62.426)
Test: [120/567]	Time 0.060 (0.149)	Loss 3.9791 (2.5197)	Prec@1 0.000 (24.298)	Prec@5 20.000 (60.868)
Test: [140/567]	Time 0.062 (0.154)	Loss 2.2716 (2.4873)	Prec@1 35.000 (27.128)	Prec@5 85.000 (62.518)
Test: [160/567]	Time 0.360 (0.152)	Loss 2.0930 (2.5462)	Prec@1 60.000 (26.677)	Prec@5 80.000 (62.050)
Test: [180/567]	Time 0.128 (0.143)	Loss 3.9499 (2.5592)	Prec@1 0.000 (26.547)	Prec@5 15.000 (62.155)
Test: [200/567]	Time 0.277 (0.136)	Loss 2.2442 (2.6157)	Prec@1 25.000 (24.851)	Prec@5 75.000 (60.448)
Test: [220/567]	Time 0.073 (0.130)	Loss 2.4718 (2.6177)	Prec@1 20.000 (24.774)	Prec@5 60.000 (59.367)
Test: [240/567]	Time 0.068 (0.130)	Loss 3.5313 (2.5923)	Prec@1 5.000 (26.805)	Prec@5 30.000 (60.788)
Test: [260/567]	Time 0.141 (0.128)	Loss 2.9042 (2.5240)	Prec@1 5.000 (28.716)	Prec@5 65.000 (61.954)
